"Key","Administration","Party","Department","Name","LastName","ServiceStart","ServiceEnd","DeptScandalFlag","ScandalFlag","ScandalDesc","EduDesc","Bachelors","Masters","MD","Law","Doctorate","MilitaryService","MilitaryDatesServed","MilitaryBranch","Gender","ForeignBorn","Minority","DiedOffice","SenateVotesFor","SenateVotesAgainst","NotesDiscrepancies","","","","","","","","","",""
"61","Madison","Democratic-Republican","Secretary of the Navy","Paul Hamilton","Hamilton","1809-05-15","1812-12-31","","","","no college","","","","","","n.a.","Revolutionary War","Militia/National Guard","1","0","0","0","nr","nr","","","","","","","","","","",""
"62","Madison","Democratic-Republican","Secretary of the Navy","William Jones","Jones","1813-01-19","1814-12-02","","","","no college","","","","","","pvt.","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"63","Madison","Democratic-Republican","Secretary of the Navy","B. W. Crowninshield","Crowninshield","1815-01-16","1817-03-03","","","","no college","","","","","","","","","1","0","0","0","18","9","","","","","","","","","","",""
"64","Madison","None, Federalist","Postmaster General","Gideon Granger","Granger","1809-03-04","1814-03-14","","","","Yale University (grad.)","1","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"65","Madison","None, Federalist","Postmaster General","Return J. Meigs, Jr.","Meigs","1814-04-11","1817-03-03","","","","Yale University (grad.)","1","","","1","","bvt. col.","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"66","Monroe","Democratic-Republican","President","James Monroe","Monroe","1817-03-04","1825-03-03","","","","College of William and Mary","","","","1","","lt. col.","Revolutionary War","Army","1","0","0","0","30","0","","","","","","","","","","",""
"67","Monroe","Democratic-Republican","Vice President","Daniel D. Tompkins","Tompkins","1817-03-04","1825-03-03","","","","Columbia University (grad.)","1","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"68","Monroe","Democratic-Republican","Secretary of State","John Quincy Adams","Adams","1817-09-22","1825-03-03","","","","Harvard University (BA, MA)","1","1","","1","","","","","1","0","0","0","29","1","Only the BA is listed in Sobel et al.","","","","","","","","","",""
"69","Monroe","Democratic-Republican","Secretary of the Treasury","William H. Crawford","Crawford","1817-03-05","1825-03-03","","","","read law","","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"70","Monroe","Democratic-Republican","Secretary of War","John C. Calhoun","Calhoun","1817-10-08","1825-03-03","","","","Yale University (grad.); Litchfield Law School (law deg.)","1","","","1","","","","","1","0","0","0","nr","nr","Tapping Reeve Law School in Litchfield, Connecticut not listed in Sobel et al.","","","","","","","","","",""
"71","Monroe","Democratic-Republican","Attorney General","Richard Rush","Rush","1817-03-04","1817-10-30","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"72","Monroe","Democratic-Republican","Attorney General","William Wirt","Wirt","1817-11-15","1825-03-03","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
